hgnc_symbol	hgnc_id
IFNGR2	HGNC:5440
MUC6	HGNC:7517
UGT2B27P	HGNC:12551
MUC20-OT1	HGNC:53807
CDH12P2	HGNC:1752
PMCHL2	HGNC:9111
UGT2B29P	HGNC:12552
UGT2B10	HGNC:12544
PRB1	HGNC:9337
RAB11FIP3	HGNC:17224
GTF2H2	HGNC:4656
RNU6-1025P	HGNC:47988
UGT2B15	HGNC:12546
SDHAP2	HGNC:27408
KRTAP5-6	HGNC:23600
KRTAP5-1	HGNC:23596
KRTAP5-4	HGNC:23599
KRTAP5-5	HGNC:23601
MT2P1	HGNC:7407
FAM99A	HGNC:32368
DIS3L-AS1	HGNC:55369
TMPRSS11E	HGNC:24465
LINC02708	HGNC:54225
KRTAP5-AS1	HGNC:27877
TMEM50B	HGNC:1280
NDUFA6	HGNC:7690
DUSP8	HGNC:3074
GNG5P1	HGNC:4409
TCF20	HGNC:11631
FAM99B	HGNC:32369
IFITM10	HGNC:40022
KRTAP5-3	HGNC:23598
KRTAP5-2	HGNC:23597
SMDT1	HGNC:25055
YTHDC1	HGNC:30626
LINC00235	HGNC:14138
CAPN15	HGNC:11182
NDUFA6-DT	HGNC:45273
OLA1P1	HGNC:45274
CYP2D7	HGNC:2624
LINC02982	HGNC:56056
NKD2	HGNC:17046
CSPG4P10	HGNC:48361
GOLGA6L9	HGNC:37229
GOLGA6L17P	HGNC:49414
CYP2D8P	HGNC:2628
GOLGA2P10	HGNC:26229
SLC12A7	HGNC:10915
LMNTD2	HGNC:28561
UBE2Q2P6	HGNC:49412
TIMM22	HGNC:17317
ADAMTS7P1	HGNC:49407
NXN	HGNC:18008
MUC4	HGNC:7514
GOLGA6L10	HGNC:37228
MIR210HG	HGNC:39524
LINC00824	HGNC:50281
RNH1	HGNC:10074
UBE2Q2P2	HGNC:37440
MUC20	HGNC:23282
KIF26B	HGNC:25484
RPL7AP55	HGNC:36314
OR10A3	HGNC:8162
OR5P2	HGNC:14783
OR5E1P	HGNC:8342
OR5P3	HGNC:14784
OR10A6	HGNC:15132
NLRP10	HGNC:21464
SERF1B	HGNC:10756
TARM1	HGNC:37250
CYP2D6	HGNC:2625
MBOAT7	HGNC:15505
NAIP	HGNC:7634
CNOT3	HGNC:7879
DRD4	HGNC:3025
DEAF1	HGNC:14677
CLK2	HGNC:2069
OR2AS2P	HGNC:31248
OR2T6	HGNC:15018
OR2T2	HGNC:14725
OR2T4	HGNC:15016
RDH13	HGNC:19978
IRF7	HGNC:6122
OR2T7	HGNC:15019
OR2T1	HGNC:8277
BDH1	HGNC:1027
OR2T3	HGNC:14727
TSEN34	HGNC:15506
OR2T5	HGNC:15017
TMEM179	HGNC:20137
VSTM1	HGNC:29455
OR2W1	HGNC:8281
NOP56P1	HGNC:13962
OR14J1	HGNC:13971
TRIM27	HGNC:9975
GP6	HGNC:14388
C14orf180	HGNC:33795
MCCC2	HGNC:6937
PKLR	HGNC:9020
NLRP2	HGNC:22948
LILRA4	HGNC:15503
HCG14	HGNC:18323
HRAS	HGNC:5173
RPL13P	HGNC:13978
ZNF311	HGNC:13847
BDP1	HGNC:13652
PSMB1	HGNC:9537
FAM120B	HGNC:21109
LENG1	HGNC:15502
LINC01623	HGNC:52050
